"연령별","무기질비료_질소질_지출액","무기질비료_인산질_지출액","무기질비료_가리질_지출액","무기질비료_복합_지출액","무기질비료_토양개량제_지출액","무기질비료_기타_지출액","유기질비료_퇴구비_지출액","유기질비료_계분_지출액","유기질비료_우분_지출액","유기질비료_돈분_지출액","유기질비료_기타_지출액","지역별","규모별","조성비","경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액1","무기질비료_인산질_지출액1","무기질비료_가리질_지출액1","무기질비료_복합_지출액1","무기질비료_토양개량제_지출액1","무기질비료_기타_지출액1","유기질비료_퇴구비_지출액1","유기질비료_계분_지출액1","유기질비료_우분_지출액1","유기질비료_돈분_지출액1","유기질비료_기타_지출액1","농약비_ha당","수도광열비_ha당","제재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","내급비","소득","직접생산비","간접생산비","생산비 합계_ha당","순수익","총 평가액_ha당","특대 수량_ha당","대 수량_ha당","중 수량_ha당","소 수량_ha당","특대 평가액_ha당","대 평가액_ha당","중 평가액_ha당","소 평가액_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별_시간_ha당","수확 및 운반_시간_ha당","시비_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","정지_시간_ha당","제초_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","표고목 눕히기_시간_ha당","표고목 뒤집기_시간_ha당","표고목 벌채_시간_ha당","표고목 세우기_시간_ha당","표고목 폐기_시간_ha당","버섯발생작업_시간_ha당","재배장 소독_시간_ha당","종균접종_시간_ha당","천공작업_시간_ha당","표고세척_시간_ha당","기타_시간_ha당","가중치"
1,0,0,0,0,0,0,0,0,0,0,702510,99,3,251734,6,7.9,0,0,7.9,0,0,0,0,0,0,7.9,0,0,7.9,0,4.9,0,0,4.9,0,0,0,0,0,0,4.9,0,0,4.9,0,12.4285714285714,2,327.755102040816,143369.387755102,0,143369.387755102,0,0,0,0,0,0,0,0,0,0,143369.387755102,0,15263.2653061224,0,3551.02040816327,0,0,0,95824.4897959184,109441.394557823,36066.3897959184,145507.784353742,0,0,487959.183673469,487959.183673469,654451.020408163,106565.102040816,25346.7346938775,786362.857142857,1253323.53707261,30145.9216295204,12689.1078979592,42835.0295274796,719083.480890248,1297439.72823352,1441612.8047619,530794.213200949,1972407.01796285,578356.247343269,2550763.26530612,517.959183673469,222.857142857143,40,29.5918367346939,1894979.59183673,549159.183673469,60400,46224.4897959184,0,0,0,0,0,0,0,0,0,0,0,0,161.020408163265,161.020408163265,31.6326530612245,6.12244897959184,0,12.2448979591837,5.30612244897959,0,55.3061224489796,0,0,0,0,0,0,0,0,5.91836734693878,37.9591836734694,1.42857142857143,0,0,0,0,5.51020408163265,0,0,1.42857142857143,0,0,0,3.06122448979592,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1111111111111
1,0,0,0,0,0,0,0,227720,0,0,0,34,4,276673,6,11.31,0,0,11.31,0,11.31,0,0,11.31,0,0,0,0,0,0,11.31,0,0,11.31,0,11.31,0,0,11.31,0,0,0,0,0,0,16.4,2,331.5649867374,20134.3943412909,0,20134.3943412909,0,0,0,0,0,0,0,20134.3943412909,0,0,0,59907.1618037135,18886.8258178603,0,0,15356.3218390805,0,0,0,204066.349837902,1927.19717064545,205993.547008547,56720.1591511936,277374.889478338,0,277374.889478338,1248983.28912467,285819.098143236,30015.8267020336,1564818.21396994,945080.215671947,36224.8945812334,20401.1004509284,56625.9950321618,1607410.29277018,2001757.98061453,2218489.62393162,334000.8845105,2552490.50844212,394347.687844349,2946838.19628647,0,1430.50397877984,0,0,0,2946838.19628647,0,0,0,0,0,0,0,0,0,0,0,335.985853227232,0,0,0,335.985853227232,25.4641909814324,26.525198938992,6.63129973474801,6.27763041556145,28.6472148541114,9.46065428824049,103.006189213086,4.86295313881521,0,0,0,0,0,7.25022104332449,0,2.38726790450928,28.5587975243148,4.86295313881521,0,0,0,8.13439434129089,16.5340406719717,3.00618921308576,0,26.790450928382,0,0,0,0.618921308576481,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2068965517241
1,0,0,0,0,0,0,160500,0,0,0,43910,99,2,251734,6,1.9,0,0,1.9,0,0,0,0,0,0,1.9,0,0,1.9,0,1.87,0,0,1.87,0,0,0,0,0,0,1.87,0,0,1.87,0,18,2,245.989304812834,109310.160427807,0,109310.160427807,0,0,0,0,0,0,85828.8770053476,0,0,0,23481.2834224599,0,87631.0160427807,9491.97860962567,0,19732.6203208556,0,0,312508.021390374,29176.871657754,11655.9304812834,40832.8021390374,246140.017825312,0,208331.550802139,208331.550802139,1613832.0855615,446519.251336898,30441.1764705882,2090792.51336898,1738828.62932396,40411.592511016,32674.4817112299,73086.074222246,1710762.1258252,-481860.71488546,3168173.13012478,281417.625024385,3449590.75514916,-2192622.84071066,1256967.9144385,286.631016042781,0,102.139037433155,0,1114994.65240642,0,141973.262032086,0,0,0,0,0,0,0,0,0,732.620320855615,0,0,0,26.2032085561497,758.823529411765,71.1229946524064,0,0,0,26.7379679144385,24.0641711229947,121.92513368984,5.88235294117647,0,0,0,0,0,0,2.67379679144385,26.7379679144385,35.8288770053476,1.60427807486631,0,0,0,0,0,0,0,44.9197860962567,0,0,0,4.27807486631016,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1,0,0,0,0,0,0,1605020,0,0,0,1756260,99,4,251734,6,7,0,0,7,0,7,0,0,7,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,7.25,2,403.333333333333,1120426.66666667,0,1120426.66666667,0,0,0,0,0,0,535006.666666667,0,0,0,585420,0,101936.666666667,47333.3333333333,13183.3333333333,50653.3333333333,0,0,196280,132001.541666667,67004.3166666667,199005.858333333,103947.569444444,190900,0,190900,1928034,807287.333333333,80039.6666666667,2815361,2915410.55089108,49323.1596975,52793.8681499999,102117.0278475,2277468.23806753,731129.449108919,4899861.76111111,293017.0278475,5192878.78895861,-1546338.78895861,3646540,178.666666666667,494.333333333333,192.333333333333,63,903923.333333333,2031710,613900,97006.6666666667,0,0,0,0,0,0,0,0,4567,0,0,0,657.333333333333,5224.33333333333,60.6666666666667,0,0,49.6666666666667,50,15,175.333333333333,20.3333333333333,0,0,0,0,0,0,2,18.6666666666667,66.6666666666667,16,0,0,0,0,0,0,0,44.6666666666667,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4444444444444
1,0,0,0,268860,0,0,0,0,0,0,1735600,99,3,251734,5,3.5,0,0,3.5,0,0,0,0,0,0,3.5,0,0,3.5,0,3.5,0,0,3.5,0,0,0,0,0,0,3.5,0,0,3.5,0,15,2,285.714285714286,572702.857142857,76817.1428571429,495885.714285714,0,0,0,76817.1428571429,0,0,0,0,0,0,495885.714285714,44974.2857142857,120965.714285714,32457.1428571429,0,0,0,0,5640,152230.461904762,22854.2718367347,175084.733741497,28285,0,278265.714285714,278265.714285714,1835564.57142857,364452.571428571,25135.7142857143,2225152.85714286,1878725.9759667,38657.3654871551,36472.9982142857,75130.3637014408,1931666.69290481,3822716.88117616,3456996.59088435,353396.077987155,3810392.66887151,1891050.18827135,5701442.85714286,459.714285714286,1155.71428571429,494.285714285714,216.285714285714,1536188.57142857,2965197.14285714,919960,280097.142857143,0,0,0,0,129.142857142857,0,0,129.142857142857,0,0,0,0,591.714285714286,591.714285714286,74.8571428571429,57.1428571428571,0,32.5714285714286,4.57142857142857,0,169.142857142857,0,0,0,0,0,0,2.57142857142857,0,6,130,10.5714285714286,0,0,0,0,15.7142857142857,0,0,4.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1111111111111
1,0,0,0,359600,0,0,0,0,0,0,0,34,2,276673,6,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,20.5,2,300,179800,179800,0,0,0,0,179800,0,0,0,0,0,0,0,8675,12430,0,0,0,0,0,0,392045.072916667,0,392045.072916667,128301,284930,0,284930,1792200.5,0,0,1792200.5,997924.072916667,87606.66142125,24216.231825,111822.89324625,2188953.39324625,666855.927083333,2790124.57291667,396752.89324625,3186877.46616292,-1522097.46616292,1664780,0,674,0,0,0,1664780,0,0,0,0,0,0,339,0,0,339,0,0,0,0,0,0,60,21,0,0,32.5,0,113.5,7,0,0,0,0,0,0,0,7,26.5,4.5,0,0,0,10,26.5,0,0,28,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,27
1,0,0,0,470500,0,0,202630,0,0,0,0,36,3,261965,6,3.99,0,0,3.99,0,3.99,0,0,3.99,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,18.6,2,316.666666666667,224376.666666667,156833.333333333,67543.3333333333,0,0,0,156833.333333333,0,0,67543.3333333333,0,0,0,0,0,138576.666666667,3786.66666666667,0,7236.66666666667,0,0,11033.3333333333,141803.277777778,43593.165,185396.442777778,85534,110540,0,110540,1484857,1108156,0,2593013,2026061.44277778,59954.9696445937,36182.97945,96137.9490945937,1691534.94909459,-1741778.10944444,3510918.44277778,206677.949094594,3717596.39187237,-3433313.05853904,284283.333333333,0,0,153.666666666667,0,0,0,284283.333333333,0,0,0,0,0,226,0,0,226,931.666666666667,0,0,0,0,931.666666666667,35,0,76,0,47.3333333333333,0,158.333333333333,0,0,0,0,0,0,0,9,6,5.33333333333333,55.6666666666667,0,0,0,57.3333333333333,0,0,0,22.6666666666667,0,0,0,1.33333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,11.9090909090909
1,0,0,0,616130,0,0,0,0,0,0,0,34,3,276673,6,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,37.6666666666667,2,333.333333333333,205376.666666667,205376.666666667,0,0,0,0,205376.666666667,0,0,0,0,0,0,0,0,11053.3333333333,0,0,9766.66666666667,0,0,0,31677.1111111111,10333.2,42010.3111111111,94800.1666666667,150696.666666667,0,150696.666666667,1802115.66666667,747935.666666667,106949.333333333,2657000.66666667,1418984.28588674,24434.224992,35030.8476,59465.072592,2087858.26448304,830335.714113262,3296680.81111111,210161.739258667,3506842.55036978,-1257522.55036978,2249320,0,0,1414.66666666667,0,0,0,2249320,0,0,0,0,0,376.666666666667,0,0,376.666666666667,0,0,0,0,0,0,108.666666666667,0,31.6666666666667,30,8,6,184.333333333333,3.66666666666667,0,0,0,0,0,0,0,0,136.666666666667,7,0,0,0,0,23,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25
1,0,0,0,627340,0,0,42130,0,0,0,0,34,4,276673,6,8,0,0,8,0,0,0,0,0,0,8,0,0,8,0,8,0,0,8,0,0,0,0,0,0,8,0,0,8,0,21.7142857142857,2,1012.5,83683.75,78417.5,5266.25,0,0,0,78417.5,0,0,5266.25,0,0,0,0,20760,306377.5,0,19775,73676.25,0,0,0,168972.0890625,6054.60625,175026.6953125,50785.8333333333,0,136350,136350,1813424.625,24826.5,0,1838251.125,1167934.52864583,31390.735221,28461.66204375,59852.39726475,1873277.02226475,881532.971354167,2845009.15364583,196202.39726475,3041211.55091058,-991744.050910584,2049467.5,266.125,452.875,28.875,0,870228.75,1118601.25,60637.5,0,0,0,0,0,141.25,0,0,141.25,68.5,0,0,0,0,68.5,73.125,0,0,2.25,35.375,0,110.75,4.25,0,0,0,0,0,20.375,0,0,24.125,3.5,0,0,0,9.75,33.25,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2068965517241
2,0,0,0,0,0,0,0,0,0,0,0,34,1,276673,6,1.5,0,0,1.5,0,1.5,0,0,1.5,0,0,0,0,0,0,1.5,0,0,1.5,0,1.5,0,0,1.5,0,0,0,0,0,0,25,1,333.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22586.6666666667,20400,0,0,7233.33333333333,0,0,5133.33333333333,51840.5555555556,0,51840.5555555556,855340,284933.333333333,0,284933.333333333,2213025.33333333,0,0,2213025.33333333,1239206.88888889,65363.64525,27560.8008,92924.44605,2590883.11271667,1546659.77777778,3452232.22222222,377857.779383333,3830090.00160556,-1044223.33493889,2785866.66666667,0,898.666666666667,0,0,0,2785866.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.6666666666667,38,0,0,27.3333333333333,0,148,9.33333333333333,0,0,0,0,0,4,0,8.66666666666667,62.6666666666667,0,0,0,0,12.6666666666667,29.3333333333333,0,0,20,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4
